strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/England/226/2013,United Kingdom,2013-02-01,EPI445937,B/Brisbane/60/2008,2.3,1.27,0.39
B/Hungary/07/2013,Hungary,2013-02-27,EPI461896,B/Brisbane/60/2008,2.3,1.27,0.39
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Brisbane/60/2008,2.3,1.27,0.39
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Brisbane/60/2008,2.3,1.27,0.39
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Brisbane/60/2008,2.3,1.27,0.39
B/Florida/30/2014,U S A,2014-08-26,EPI550831,B/Brisbane/60/2008,2.3,1.27,0.39
B/Zamora/102/2013,Spain,2013-03-19,EPI460644,B/Brisbane/60/2008,2.3,1.27,0.39
B/Bretagne/1591/2013,France,2013-04-17,EPI477341,B/Brisbane/60/2008,2.3,1.27,0.39
B/Uruguay/177/2013,Uruguay,2013-06-10,EPI468104,B/Brisbane/60/2008,2.3,1.27,0.39
B/HongKong/3608/2012,Hong Kong,2012-11-09,EPI431334,B/Brisbane/60/2008,2.3,1.27,0.39
B/St.Petersburg/18/2012,Russia,2012-04-13,EPI379930,B/Brisbane/60/2008,2.3,1.27,0.0
B/Darwin/17/2015,Australia,2015-07-07,EPIHA,B/Brisbane/60/2008,2.0,0.97,0.0
B/Brandenburg/2/2014,Germany,2014-02-10,EPI515241,B/Brisbane/60/2008,2.8,1.74,0.0
B/SachsenAnhalt/13/2013,Germany,2013-11-29,EPI500373,B/Brisbane/60/2008,2.8,1.74,0.0
B/Darwin/17/2015,Australia,2015-07-07,EPIHA,B/Brisbane/60/2008,2.0,0.97,0.0
B/AICHI/62/2013,Japan,2013-10-15,EPI497547,B/Brisbane/60/2008,2.0,0.97,0.0
B/AICHI/62/2013,Japan,2013-10-15,EPI497547,B/Brisbane/60/2008,2.0,0.97,0.0
B/Mauritius/678/2012,Mauritius,2012-07-21,EPI406295,B/Brisbane/60/2008,1.6,0.63,0.0
B/Mauritius/678/2012,Mauritius,2012-07-21,EPI406295,B/Brisbane/60/2008,1.6,0.63,0.0
B/Mauritius/614/2012,Mauritius,2012-07-11,EPI406293,B/Brisbane/60/2008,1.6,0.63,0.0
B/Mauritius/571/2012,Mauritius,2012-06-29,EPI406291,B/Brisbane/60/2008,1.6,0.63,0.0
B/Norway/2389/2012,Norway,2012-11-28,EPI417717,B/Brisbane/60/2008,1.8,0.76,0.0
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Brisbane/60/2008,1.8,0.76,0.0
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Brisbane/60/2008,1.8,0.76,0.0
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Brisbane/60/2008,1.8,0.76,0.0
B/Sachsen/26/2012,Germany,2012-12-18,EPI417763,B/Brisbane/60/2008,1.8,0.76,0.0
B/PaysdeLoire/1222/2013,France,2013-03-05,EPI477389,B/Brisbane/60/2008,1.8,0.77,0.0
B/Blida/113/2012,Algeria,2012-11-08,EPI431320,B/Brisbane/60/2008,1.8,0.77,0.0
B/Djibouti/IP1157/2012,Djibouti,2012-03-24,EPI392566,B/Brisbane/60/2008,1.8,0.76,0.0
B/Finland/310/2013,Finland,2013-01-14,EPI433372,B/Brisbane/60/2008,2.2,1.19,0.0
B/Finland/293/2012,Finland,2012-11-08,EPI398731,B/Brisbane/60/2008,2.2,1.19,0.0
B/HongKong/3501/2012,Hong Kong,2012-05-01,EPI392577,B/Brisbane/60/2008,2.2,1.14,0.0
B/England/507/2012,United Kingdom,2012-04-04,EPI377707,B/Brisbane/60/2008,2.2,1.14,0.0
B/Norway/2368/2011,Norway,2011-12-05,EPI352434,B/Brisbane/60/2008,2.2,1.14,0.0
B/Ukraine/5376/2012,Ukraine,2012-03-26,EPI379946,B/Brisbane/60/2008,2.2,1.14,0.0
B/Ukraine/5376/2012,Ukraine,2012-03-26,EPI379946,B/Brisbane/60/2008,2.2,1.14,0.0
B/England/626/2012,United Kingdom,2012-12-06,EPI416451,B/Brisbane/60/2008,2.3,1.29,0.43
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Brisbane/60/2008,2.3,1.29,0.43
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Brisbane/60/2008,2.3,1.29,0.43
B/England/579/2012,United Kingdom,2012-10-30,EPI408059,B/Brisbane/60/2008,2.3,1.29,0.43
B/Formosa/V2367/2012,Argentina,2012-08-06,EPI406250,B/Brisbane/60/2008,2.1,1.05,0.43
B/Formosa/V2367/2012,Argentina,2012-08-06,EPI406250,B/Brisbane/60/2008,2.1,1.05,0.43
B/Milano/101/2013,Italy,2013-02-19,EPI464757,B/Brisbane/60/2008,2.1,1.05,0.43
B/Milano/101/2013,Italy,2013-02-19,EPI464757,B/Brisbane/60/2008,2.1,1.05,0.43
B/Leon/116/2013,Spain,2013-03-26,EPI460594,B/Brisbane/60/2008,2.1,1.05,0.43
