strain,location,collection_date,ID,serum,antigenic_distance,Tree_model_log2,Subs_model_log2
B/Taiwan/16/2004,Taiwan,2004-11-01,EPI110546,B/Massachusetts/02/2012,1.3,1.18,0.54
B/SRILANKA/4/2006,Sri Lanka,2006-01-01,EPI417412,B/Massachusetts/02/2012,1.1,1.01,0.65
B/Brisbane/5/2004,Australia,2004-09-23,EPI482216,B/Massachusetts/02/2012,1.1,1.01,0.82
B/Brisbane/13/2004,Australia,2004-09-28,EPI482232,B/Massachusetts/02/2012,1.1,1.01,0.54
B/Florida/7/2004,U S A,2004-07-01,EPI159954,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Townsville/1/2003,Australia,2003-07-03,EPI481888,B/Massachusetts/02/2012,1.1,1.01,0.54
B/NewJersey/NHRC0001/2005,U S A,2005-05-16,EPI338057,B/Massachusetts/02/2012,1.1,1.01,0.54
B/Victoria/509/2004,Australia,2004-09-23,EPI482224,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Oslo/71/2004,Norway,2004-01-01,EPI13605,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Nebraska/5/2003,U S A,2003-10-01,EPI43624,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Florida/7/2004,U S A,2004-07-01,EPI159954,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Milano/66/2004,Italy,2004-04-01,EPI13769,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Nebraska/5/2003,U S A,2003-10-01,EPI43624,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Florida/7/2004,U S A,2004-07-01,EPI159954,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Brazil/2452/2008,Brazil,2008-05-05,EPI161782,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Brazil/2452/2008,Brazil,2008-05-05,EPI161782,B/Massachusetts/02/2012,1.0,1.13,0.54
B/Argentina/622/2006,Argentina,2006-10-17,EPI155148,B/Massachusetts/02/2012,1.0,1.13,0.54
