,week_startdate,year_week,year_month,season,time,ILI%,ILI_total,total_patients,total_samples_phl,H1pdm09_phl,H3N2_phl,H3N2v_phl,A_unspecified_phl,B_unspecified_phl,Victoria_phl,Yamagata_phl,total_samples_cli,A_unspecified_cli,B_unspecified_cli,total_samples,A_unspecified,B_unspecified,H1pdm09_estimate,H3N2_estimate,H3N2v_estimate,Victoria_estimate,Yamagata_estimate,positive_samples,positive_rate,H1N1,H3N2,H3N2v,Victoria,Yamagata,H1N1_proporation,H3N2_proporation,H3N2v_proporation,Victoria_proporation,Yamagata_proporation,population,H1N1_IR,H3N2_IR,Victoria_IR,Yamagata_IR,H1N1_IR_rolling,H3N2_IR_rolling,Victoria_IR_rolling,Yamagata_IR_rolling,BV_antigenic_rate,BV_antigenic_transition,BY_antigenic_rate,BY_antigenic_transition
10,2015-12-13,2015-50,2015-M12,2015-2016,2015.9615384615383,0.0196571364368184,15396,783227,1475,69,39,0,0,10,4,19,17358,244,192,18833,244,202,155.88888888888889,88.11111111111111,0.0,35.130434782608695,166.8695652173913,577,0.030637710401954,224.88888888888889,127.11111111111111,0.0,39.130434782608695,185.8695652173913,0.3897554400154053,0.2202965530521856,0.0,0.0678170446838972,0.3221309622485118,321710374,75515.10140517159,42682.448620314375,13139.549780501158,62412.861457380495,41056.44473812084,37530.18950133876,9061.065168061255,38605.027821709366,0.6972993657044533,0,0.9465325078888632,0
11,2015-12-20,2015-51,2015-M12,2015-2016,2015.9807692307693,0.0242021241894025,14839,613128,1245,89,33,0,1,12,3,28,16878,220,166,18123,221,178,161.22131147540983,59.778688524590166,0.0,17.225806451612904,160.7741935483871,552,0.0304585333554047,250.22131147540983,92.77868852459017,0.0,20.225806451612904,188.7741935483871,0.453299477310525,0.1680773342836778,0.0,0.03664095371669,0.341982234689107,321710374,107501.06239366198,39859.94448304321,8689.49038951323,81101.91030212346,61749.21156680591,38766.9420648331,8717.251685258838,51331.94715669806,0.6972993657044533,0,0.9465325078888632,0
12,2015-12-27,2015-52,2015-M12,2015-2016,2016.0,0.0241083345121748,15679,650356,1485,146,56,0,1,13,9,35,18865,264,200,20350,265,213,191.5346534653465,73.46534653465348,0.0,43.56818181818182,169.4318181818182,724,0.0355773955773955,337.53465346534654,129.46534653465346,0.0,52.56818181818182,204.4318181818182,0.4662080848968875,0.1788195394125047,0.0,0.0726079859367152,0.2823643897538925,321710374,128643.02023597594,49342.5283096894,20035.067830743817,77914.15267511483,86799.98483439852,41622.59842038695,12074.88543072362,64205.95247659207,0.6972993657044533,0,0.9465325078888632,0
13,2016-01-03,2016-1,2016-M1,2015-2016,2016.0192307692307,0.0198858728239108,15654,787192,1841,232,68,0,2,14,12,52,19786,396,184,21627,398,198,307.78666666666663,90.21333333333332,0.0,37.125,160.875,960,0.0443889582466361,539.7866666666666,158.2133333333333,0.0,49.125,212.875,0.5622777777777778,0.1648055555555555,0.0,0.051171875,0.2217447916666666,321864095,159750.8076907856,46823.51259902335,14538.629633577168,63000.72841216773,117852.49793139876,44677.10850301759,14100.684408583844,71107.41321169664,0.6972993657044533,0,0.9465325078888632,0
14,2016-01-10,2016-2,2016-M1,2015-2016,2016.0384615384612,0.0198984623157721,15517,779809,1748,256,89,0,5,47,23,60,18689,571,224,20437,576,271,427.408695652174,148.59130434782608,0.0,75.09638554216868,195.9036144578313,1275,0.0623868473846455,683.408695652174,237.59130434782608,0.0,98.09638554216868,255.9036144578313,0.5360068201193521,0.1863461210571185,0.0,0.0769383416017009,0.2007087172218285,321864095,214168.40624394707,74456.98498324722,30741.702122781888,80195.74466812667,152515.82414109266,52620.7425937508,18501.222494154023,75553.13401438319,0.6972993657044533,0,0.9465325078888632,0
15,2016-01-17,2016-3,2016-M1,2015-2016,2016.0576923076924,0.0210710004318875,15661,743249,1946,361,100,0,13,45,25,83,18798,716,315,20744,729,360,570.8655097613882,158.1344902386117,0.0,83.33333333333333,276.66666666666663,1658,0.0799267258002314,931.8655097613882,258.1344902386117,0.0,108.33333333333331,359.66666666666663,0.5620419238609097,0.1556902836179805,0.0,0.0653397667872939,0.2169280257338158,321864095,304662.0938679301,84393.93181937121,35418.26564380195,117588.64193742244,201806.08200965967,63754.23942783279,25183.41630772621,84674.81692320792,0.6972993657044533,0,0.9465325078888632,0
16,2016-01-24,2016-4,2016-M1,2015-2016,2016.076923076923,0.0219255524591471,18143,827482,2568,526,160,0,15,97,28,104,20791,1035,412,23359,1050,509,805.1020408163265,244.89795918367344,0.0,107.96969696969695,401.030303030303,2377,0.1017594931289866,1331.1020408163265,404.8979591836735,0.0,135.96969696969697,505.030303030303,0.5599924446008946,0.1703399071029337,0.0,0.0572022284264606,0.212465419869711,321864095,402142.691363829,122324.77303842708,41078.157952327245,152576.0152515012,270180.999791623,81999.8006100172,30444.18883812206,103340.28256730452,0.6972993657044533,0,0.9465325078888632,0
17,2016-01-31,2016-5,2016-M1,2015-2016,2016.0961538461536,0.0230014011622118,18944,823602,2727,672,171,0,13,98,62,143,22261,1572,587,24988,1585,685,1263.487544483986,321.51245551601426,0.0,207.17073170731703,477.8292682926829,3318,0.1327837361933728,1935.4875444839856,492.5124555160143,0.0,269.17073170731703,620.8292682926829,0.583329579410484,0.1484365447607035,0.0,0.0811243917140798,0.1871094841147326,321864095,573436.9958376526,145919.2355479741,79748.61744657627,183936.32733645817,373602.5468283397,106773.7313472549,46746.68579137184,133574.18229837713,0.6972993657044533,0,0.9465325078888632,0
18,2016-02-07,2016-6,2016-M2,2015-2016,2016.1153846153843,0.0267574392784068,21774,813755,3202,891,236,0,17,161,71,206,24934,2265,864,28136,2282,1025,1804.136645962733,477.8633540372671,0.0,262.72563176895306,762.274368231047,4711,0.1674367358544213,2695.136645962733,713.8633540372671,0.0,333.72563176895306,968.274368231047,0.5720943846238024,0.1515311725827355,0.0,0.0708396586221509,0.2055347841713111,322035525,825404.3731347284,218625.6252074028,102205.79958417916,296540.77062451985,526411.5385510351,142815.89140329382,64612.71015672115,187660.43878747543,0.6972993657044533,0,0.9465325078888632,0
19,2016-02-14,2016-7,2016-M2,2015-2016,2016.1346153846157,0.030242691441469,24681,816098,3898,1340,256,0,19,179,103,309,27208,3135,1092,31106,3154,1271,2648.095238095238,505.9047619047618,0.0,317.75,953.25,6433,0.2068089757603034,3988.095238095238,761.9047619047619,0.0,420.75,1262.25,0.6199432983204163,0.1184369286343482,0.0,0.0654049432613088,0.1962148297839266,322035525,1248663.9540839517,238550.72555633707,131735.9108334003,395207.732500201,762412.0036050405,181355.08983753528,88692.12145412074,257065.2114281701,0.6972993657044533,0,0.9465325078888632,0
