time_plot,S_y0.00_n0.10,Iv_y0.00_n0.10,Iy_y0.00_n0.10,Rcv_y0.00_n0.10,Rcy_y0.00_n0.10,Rv_y0.00_n0.10,Ry_y0.00_n0.10,Jv_y0.00_n0.10,Jy_y0.00_n0.10,R_y0.00_n0.10,CV_y0.00_n0.10,CY_y0.00_n0.10,BV_y0.00_n0.10,BY_y0.00_n0.10,step
2016.9038461538462,34636.35523513071,22.35828031586109,3.7972926687381223,132.53431938130262,22.427841776896724,27963.41137228677,15828.369325694875,9.79893142183219,2.2916904137819714,21378.65571090924,12687.365764637583,642.6854757121952,5.597243665727402,6.852447802750885,57
2016.923076923077,34782.82173003715,26.76958964970951,4.536884452806484,150.35739190616823,25.437941208022565,27958.019755891382,15836.030775551331,11.777034139721621,2.879106579731443,21201.369790583984,12766.266915535165,657.8474961151094,6.706597826294456,8.339111221602815,58
2016.9423076923076,34915.68448639704,32.43392825060778,5.53827639419749,173.75774580457124,29.414840792570878,27954.93560396458,15838.464995443115,14.311969995686225,3.673924770914462,21031.78422818672,12861.915307832152,676.6657236668101,8.130113345243927,10.350025153435395,59
2016.9615384615386,35030.86324116469,39.71785139619493,6.912124585959875,204.22270471185072,34.73524459153785,27955.041369566814,15834.541471733399,17.565526402632017,4.764547593413992,20871.635918253534,12979.08851553855,700.4973445604166,9.959722655043752,13.107391491483606,60
2016.9807692307693,35123.020937657944,49.07482168636059,8.818360819793899,243.68644211154697,41.943069604782984,27959.359722782207,15822.842623925944,21.73818336271518,6.279739654825664,20723.236098393856,13123.905728301846,731.2859222312829,12.309463084880246,16.93371771897646,61
2017.0,35185.250984670376,61.04092654603638,11.484761764654099,294.59416263180486,51.82066072696204,27969.05381432505,15801.638413089788,27.06811009385333,8.405009408265233,20589.64315674329,13304.079947344355,771.8156882561029,15.314808618613217,22.291371313651,62
2017.0192307692307,35208.78161522138,76.20455616526327,15.226764254521369,359.92126061531326,65.47981288345089,27985.40119086628,15768.904464973952,33.819743577618446,11.401690104401036,20474.85890133772,13529.08935025889,826.0470069635655,19.12579924773546,29.827225289104437,63
2017.0384615384617,35182.802716641716,95.13006762124444,20.460700638708886,443.0896752157012,84.46347123333885,28009.729758112506,15722.425614045707,42.25390275075335,15.623779642923898,20384.020314097397,13810.137402367016,899.5173599985787,23.889084429190735,40.40869416925727,64
2017.0576923076924,35094.60510627103,118.21169509199372,27.693317262444307,547.6939674227506,110.82788664312014,28043.31153828552,15660.042474256737,52.56972462812679,21.520312788836396,20323.523977349425,14159.70114063902,999.7337333069029,29.712917753120283,55.11900531957828,65
2017.076923076923,34930.320804881034,145.44117985481978,37.4568876528229,676.9288731007307,147.13912359652844,28087.232919968617,15580.102209034101,64.81109641816589,29.600828300665608,20300.966077192552,14590.413944823571,1136.3741854726836,36.6105883556869,75.15224869117941,66
