,combination,extinction_size
316,BY_y0.00_n0.13_r1.003,7253.019265969179
317,BY_y0.00_n0.14_r1.003,6447.718964407107
318,BY_y0.00_n0.15_r1.003,5689.909814606101
319,BY_y0.00_n0.16_r1.003,4990.908660737258
320,BY_y0.00_n0.17_r1.003,4360.0340195991685
321,BY_y0.00_n0.18_r1.003,3798.76083207343
322,BY_y0.00_n0.19_r1.003,3310.4415627389826
323,BY_y0.00_n0.20_r1.003,2891.5110542396624
324,BY_y0.00_n0.21_r1.003,2536.212500421313
325,BY_y0.00_n0.22_r1.003,2238.2695750612593
326,BY_y0.00_n0.23_r1.003,1990.3532284761673
327,BY_y0.00_n0.24_r1.003,1784.5490592385
328,BY_y0.00_n0.25_r1.003,1614.6661610254298
329,BY_y0.00_n0.26_r1.003,1473.8342955946964
330,BY_y0.00_n0.27_r1.003,1357.2323583615457
331,BY_y0.00_n0.28_r1.003,1260.266740987691
332,BY_y0.00_n0.29_r1.003,1179.4340121876182
333,BY_y0.00_n0.30_r1.003,1111.3840459489509
334,BY_y0.00_n0.31_r1.003,1054.1095857560474
335,BY_y0.00_n0.32_r1.003,1005.4051688620373
336,BY_y0.00_n0.33_r1.003,963.5757930292414
337,BY_y0.00_n0.34_r1.003,927.7498715800081
338,BY_y0.00_n0.35_r1.003,896.3979903444488
339,BY_y0.00_n0.36_r1.003,869.0003506683308
340,BY_y0.00_n0.37_r1.003,845.084273493257
341,BY_y0.00_n0.38_r1.003,823.9586397083528
342,BY_y0.00_n0.39_r1.003,804.8757446727226
343,BY_y0.00_n0.40_r1.003,788.1212577700877
344,BY_y0.00_n0.41_r1.003,772.8368061772406
345,BY_y0.00_n0.42_r1.003,758.9580610823815
346,BY_y0.00_n0.43_r1.003,746.4943187164139
347,BY_y0.00_n0.44_r1.003,735.0314761520915
348,BY_y0.00_n0.45_r1.003,724.5973892072851
349,BY_y0.00_n0.46_r1.003,714.8808801024084
350,BY_y0.00_n0.47_r1.003,706.021239301988
351,BY_y0.00_n0.48_r1.003,697.7856494623494
352,BY_y0.00_n0.49_r1.003,690.0474387618252
353,BY_y0.00_n0.50_r1.003,682.9785125790688
354,BY_y0.00_n0.51_r1.003,676.2164749877059
355,BY_y0.00_n0.52_r1.003,670.0020208080887
356,BY_y0.00_n0.53_r1.003,664.1872059944708
357,BY_y0.00_n0.54_r1.003,658.6155456686007
358,BY_y0.00_n0.55_r1.003,653.344866159271
359,BY_y0.00_n0.56_r1.003,648.4702722967829
360,BY_y0.00_n0.57_r1.003,643.7707430659049
361,BY_y0.00_n0.58_r1.003,639.4084875026235
362,BY_y0.00_n0.59_r1.003,635.1514017732561
363,BY_y0.00_n0.60_r1.003,631.2224139213833
364,BY_y0.00_n0.61_r1.003,627.3890083903905
365,BY_y0.00_n0.62_r1.003,623.7681272754121
366,BY_y0.00_n0.63_r1.003,620.4042494267871
367,BY_y0.00_n0.64_r1.003,617.0766444986862
368,BY_y0.00_n0.65_r1.003,613.8818471025568
369,BY_y0.00_n0.66_r1.003,610.8794229821433
370,BY_y0.00_n0.67_r1.003,608.0272589072308
371,BY_y0.00_n0.68_r1.003,605.2352273891771
372,BY_y0.00_n0.69_r1.003,602.5620580491901
373,BY_y0.00_n0.70_r1.003,600.0225815861536
374,BY_y0.00_n0.71_r1.003,597.5277187426767
375,BY_y0.00_n0.72_r1.003,595.183455397128
376,BY_y0.00_n0.73_r1.003,592.9164935315684
377,BY_y0.00_n0.74_r1.003,590.6861391376932
378,BY_y0.00_n0.75_r1.003,588.5751209646974
379,BY_y0.00_n0.76_r1.003,586.4781059545364
380,BY_y0.00_n0.77_r1.003,584.5161610054449
381,BY_y0.00_n0.78_r1.003,582.5598446797571
382,BY_y0.00_n0.79_r1.003,580.7571825026484
383,BY_y0.00_n0.80_r1.003,578.9179031119074
384,BY_y0.00_n0.81_r1.003,577.1903600223346
385,BY_y0.00_n0.82_r1.003,575.5369672804239
386,BY_y0.00_n0.83_r1.003,573.9011133017311
387,BY_y0.00_n0.84_r1.003,572.2985871412081
388,BY_y0.00_n0.85_r1.003,570.7307256861861
389,BY_y0.00_n0.86_r1.003,569.2467139982913
390,BY_y0.00_n0.87_r1.003,567.8191410575081
391,BY_y0.00_n0.88_r1.003,566.3943911862284
392,BY_y0.00_n0.89_r1.003,565.028226106751
393,BY_y0.00_n0.90_r1.003,563.6908390562648
394,BY_y0.00_n0.91_r1.003,562.4175000651097
395,BY_y0.00_n0.92_r1.003,561.1253478600197
396,BY_y0.00_n0.93_r1.003,559.9025300931385
397,BY_y0.00_n0.94_r1.003,558.7371462641635
398,BY_y0.00_n0.95_r1.003,557.5686971756065
399,BY_y0.00_n0.96_r1.003,556.4532861253844
400,BY_y0.00_n0.97_r1.003,555.3450024477568
401,BY_y0.00_n0.98_r1.003,554.2378939972912
402,BY_y0.00_n0.99_r1.003,553.1646240838976
403,BY_y0.00_n1.00_r1.003,552.1814082250723
404,BY_y0.00_n0.00_r1.004,17526.535834109476
405,BY_y0.00_n0.01_r1.004,16789.984660751525
406,BY_y0.00_n0.02_r1.004,16130.092146082483
407,BY_y0.00_n0.03_r1.004,15438.485999857197
408,BY_y0.00_n0.04_r1.004,14715.746644997704
409,BY_y0.00_n0.05_r1.004,13960.804751080252
410,BY_y0.00_n0.06_r1.004,13176.159324096783
411,BY_y0.00_n0.07_r1.004,12362.512335600664
412,BY_y0.00_n0.08_r1.004,11524.004188621238
413,BY_y0.00_n0.09_r1.004,10666.439338621916
414,BY_y0.00_n0.10_r1.004,9796.987988480363
415,BY_y0.00_n0.11_r1.004,8925.545551657762
416,BY_y0.00_n0.12_r1.004,8063.479211518631
417,BY_y0.00_n0.13_r1.004,7222.785713208533
418,BY_y0.00_n0.14_r1.004,6418.648910192551
419,BY_y0.00_n0.15_r1.004,5662.159043064573
420,BY_y0.00_n0.16_r1.004,4965.142815559664
421,BY_y0.00_n0.17_r1.004,4335.5511612349765
422,BY_y0.00_n0.18_r1.004,3777.433935819928
423,BY_y0.00_n0.19_r1.004,3291.7518460004835
424,BY_y0.00_n0.20_r1.004,2874.6325953162122
425,BY_y0.00_n0.21_r1.004,2521.1238092883104
426,BY_y0.00_n0.22_r1.004,2225.1941068620426
427,BY_y0.00_n0.23_r1.004,1978.4128396565357
428,BY_y0.00_n0.24_r1.004,1774.2540938480668
429,BY_y0.00_n0.25_r1.004,1605.1176735717418
430,BY_y0.00_n0.26_r1.004,1465.312282700689
431,BY_y0.00_n0.27_r1.004,1349.8639262611687
432,BY_y0.00_n0.28_r1.004,1253.6751586659502
433,BY_y0.00_n0.29_r1.004,1173.3823923113641
434,BY_y0.00_n0.30_r1.004,1105.8245716408699
435,BY_y0.00_n0.31_r1.004,1048.7619158701916
436,BY_y0.00_n0.32_r1.004,1000.4330398808974
437,BY_y0.00_n0.33_r1.004,959.0920028095404
438,BY_y0.00_n0.34_r1.004,923.2389296810261
439,BY_y0.00_n0.35_r1.004,892.1945462768098
440,BY_y0.00_n0.36_r1.004,865.0507810376782
441,BY_y0.00_n0.37_r1.004,841.2885112754436
442,BY_y0.00_n0.38_r1.004,820.1569622338931
443,BY_y0.00_n0.39_r1.004,801.4258682610251
444,BY_y0.00_n0.40_r1.004,784.6745666213498
445,BY_y0.00_n0.41_r1.004,769.5013235861093
446,BY_y0.00_n0.42_r1.004,755.8820549361186
447,BY_y0.00_n0.43_r1.004,743.273775496672
448,BY_y0.00_n0.44_r1.004,731.9690516760562
449,BY_y0.00_n0.45_r1.004,721.583970151216
450,BY_y0.00_n0.46_r1.004,711.9440198517515
