,combination,extinction_size
244,BY_y_cv0.00_cy24.40,45.33730125738421
245,BY_y_cv0.00_cy24.50,44.537969703836296
246,BY_y_cv0.00_cy24.60,43.77365220712945
247,BY_y_cv0.00_cy24.70,43.015917206250556
248,BY_y_cv0.00_cy24.80,42.3312320997562
249,BY_y_cv0.00_cy24.90,41.67876031208398
250,BY_y_cv0.00_cy25.00,41.017550188427236
251,BY_y_cv0.00_cy25.10,40.39121192803323
252,BY_y_cv0.00_cy25.20,39.81170040671695
253,BY_y_cv0.00_cy25.30,39.256341761785926
254,BY_y_cv0.00_cy25.40,38.71188946110033
255,BY_y_cv0.00_cy25.50,38.21583010735922
256,BY_y_cv0.00_cy25.60,37.73783329497837
257,BY_y_cv0.00_cy25.70,37.280071951802896
258,BY_y_cv0.00_cy25.80,36.84421922483179
259,BY_y_cv0.00_cy25.90,36.429369421222326
260,BY_y_cv0.00_cy26.00,36.02816774895254
261,BY_y_cv0.00_cy26.10,35.65822174093246
262,BY_y_cv0.00_cy26.20,35.30455801480639
263,BY_y_cv0.00_cy26.30,34.95765117867086
264,BY_y_cv0.00_cy26.40,34.65156257719682
265,BY_y_cv0.00_cy26.50,34.348976526680964
266,BY_y_cv0.00_cy26.60,34.066782809742286
267,BY_y_cv0.00_cy26.70,33.78400326442061
268,BY_y_cv0.00_cy26.80,33.53524183137179
269,BY_y_cv0.00_cy26.90,33.291341550245676
270,BY_y_cv0.00_cy27.00,33.06095675840552
271,BY_y_cv0.00_cy27.10,32.84632267699508
272,BY_y_cv0.00_cy27.20,32.650347648791104
273,BY_y_cv0.00_cy27.30,32.452285712722734
274,BY_y_cv0.00_cy27.40,32.26144866044634
275,BY_y_cv0.00_cy27.50,32.09307310961941
276,BY_y_cv0.00_cy27.60,31.936124207225845
277,BY_y_cv0.00_cy27.70,31.780444938489566
278,BY_y_cv0.00_cy27.80,31.639325021894006
279,BY_y_cv0.00_cy27.90,31.51596678742681
280,BY_y_cv0.00_cy28.00,31.38615869360092
281,BY_y_cv0.00_cy28.10,31.27058242403564
282,BY_y_cv0.00_cy28.20,31.156842828159096
283,BY_y_cv0.00_cy28.30,31.058551447065838
284,BY_y_cv0.00_cy28.40,30.96471949704137
285,BY_y_cv0.00_cy28.50,30.874199249052978
286,BY_y_cv0.00_cy28.60,30.794537872103135
287,BY_y_cv0.00_cy28.70,30.717031106986543
288,BY_y_cv0.00_cy28.80,30.64731898256159
289,BY_y_cv0.00_cy28.90,30.593822708210613
290,BY_y_cv0.00_cy29.00,30.5301494182937
291,BY_y_cv0.00_cy29.10,30.4785417200028
292,BY_y_cv0.00_cy29.20,30.430984472223646
293,BY_y_cv0.00_cy29.30,30.38959745864468
294,BY_y_cv0.00_cy29.40,30.35195633106651
295,BY_y_cv0.00_cy29.50,30.32238276676872
296,BY_y_cv0.00_cy29.60,30.295083210521085
297,BY_y_cv0.00_cy29.70,30.268090669058257
298,BY_y_cv0.00_cy29.80,30.24730097662578
299,BY_y_cv0.00_cy29.90,30.236103309344255
300,BY_y_cv0.00_cy30.00,30.226244425960974
301,BY_y_cv0.10_cy0.00,898.3069986749214
302,BY_y_cv0.10_cy0.10,917.9977199594031
303,BY_y_cv0.10_cy0.20,937.7431583117753
304,BY_y_cv0.10_cy0.30,957.5960514022058
305,BY_y_cv0.10_cy0.40,977.4626322098812
306,BY_y_cv0.10_cy0.50,997.3427357790672
307,BY_y_cv0.10_cy0.60,1017.122277299977
308,BY_y_cv0.10_cy0.70,1037.0257995229022
309,BY_y_cv0.10_cy0.80,1056.7984647285457
310,BY_y_cv0.10_cy0.90,1076.4147528585124
311,BY_y_cv0.10_cy1.00,1096.0193361173474
312,BY_y_cv0.10_cy1.10,1115.4512850705323
313,BY_y_cv0.10_cy1.20,1134.7743299374008
314,BY_y_cv0.10_cy1.30,1153.8865097658309
315,BY_y_cv0.10_cy1.40,1172.9119698318957
316,BY_y_cv0.10_cy1.50,1191.503379762365
317,BY_y_cv0.10_cy1.60,1209.9893126109953
318,BY_y_cv0.10_cy1.70,1228.1494302891667
319,BY_y_cv0.10_cy1.80,1245.9466014034667
320,BY_y_cv0.10_cy1.90,1263.4602981276234
321,BY_y_cv0.10_cy2.00,1280.74350506685
322,BY_y_cv0.10_cy2.10,1297.4819038801313
323,BY_y_cv0.10_cy2.20,1312.8676716820125
324,BY_y_cv0.10_cy2.30,1328.7931672247644
325,BY_y_cv0.10_cy2.40,1344.181025834594
326,BY_y_cv0.10_cy2.50,1359.2198430762355
327,BY_y_cv0.10_cy2.60,1375.7821126794506
328,BY_y_cv0.10_cy2.70,1389.570754095814
329,BY_y_cv0.10_cy2.80,1403.080999941029
330,BY_y_cv0.10_cy2.90,1416.0256566377902
331,BY_y_cv0.10_cy3.00,1428.110668435651
332,BY_y_cv0.10_cy3.10,1439.8135631779435
333,BY_y_cv0.10_cy3.20,1450.8931514630747
334,BY_y_cv0.10_cy3.30,1460.8278772238077
335,BY_y_cv0.10_cy3.40,1471.4091874375445
336,BY_y_cv0.10_cy3.50,1480.6256286335522
337,BY_y_cv0.10_cy3.60,1489.0184421215004
338,BY_y_cv0.10_cy3.70,1496.6475769388567
339,BY_y_cv0.10_cy3.80,1503.7091867064255
340,BY_y_cv0.10_cy3.90,1510.5775345053862
341,BY_y_cv0.10_cy4.00,1515.9887836571186
342,BY_y_cv0.10_cy4.10,1521.0946258291583
343,BY_y_cv0.10_cy4.20,1525.2670497330118
344,BY_y_cv0.10_cy4.30,1528.8516378059842
345,BY_y_cv0.10_cy4.40,1531.4692382826172
346,BY_y_cv0.10_cy4.50,1533.585612916382
347,BY_y_cv0.10_cy4.60,1534.8024799598702
348,BY_y_cv0.10_cy4.70,1535.6569982698607
349,BY_y_cv0.10_cy4.80,1535.4705165712037
350,BY_y_cv0.10_cy4.90,1534.5894216358304
351,BY_y_cv0.10_cy5.00,1532.8255061915918
352,BY_y_cv0.10_cy5.10,1530.5621831353858
353,BY_y_cv0.10_cy5.20,1527.5810695769194
354,BY_y_cv0.10_cy5.30,1523.8299841817748
355,BY_y_cv0.10_cy5.40,1519.511330500934
356,BY_y_cv0.10_cy5.50,1514.6804039530261
357,BY_y_cv0.10_cy5.60,1509.0083220912325
358,BY_y_cv0.10_cy5.70,1502.5489180376208
359,BY_y_cv0.10_cy5.80,1495.5606779799587
360,BY_y_cv0.10_cy5.90,1487.9861193285417
361,BY_y_cv0.10_cy6.00,1479.999770696182
362,BY_y_cv0.10_cy6.10,1471.2560712352677
363,BY_y_cv0.10_cy6.20,1461.8018711780269
364,BY_y_cv0.10_cy6.30,1451.6907690139346
365,BY_y_cv0.10_cy6.40,1441.4671758997908
366,BY_y_cv0.10_cy6.50,1430.6811661499387
367,BY_y_cv0.10_cy6.60,1419.1710684629484
368,BY_y_cv0.10_cy6.70,1407.3550236446968
369,BY_y_cv0.10_cy6.80,1395.1240268669371
370,BY_y_cv0.10_cy6.90,1382.102063451919
371,BY_y_cv0.10_cy7.00,1369.3261233177495
372,BY_y_cv0.10_cy7.10,1355.703108993711
373,BY_y_cv0.10_cy7.20,1341.7916704258878
374,BY_y_cv0.10_cy7.30,1327.8185963925016
375,BY_y_cv0.10_cy7.40,1313.1888008980739
376,BY_y_cv0.10_cy7.50,1298.3130804793016
377,BY_y_cv0.10_cy7.60,1283.2507138798794
378,BY_y_cv0.10_cy7.70,1267.740026049774
379,BY_y_cv0.10_cy7.80,1252.4500975047465
380,BY_y_cv0.10_cy7.90,1236.2899492578813
381,BY_y_cv0.10_cy8.00,1220.3268477112756
382,BY_y_cv0.10_cy8.10,1204.3316833145059
383,BY_y_cv0.10_cy8.20,1187.8838869832364
384,BY_y_cv0.10_cy8.30,1171.446892666075
385,BY_y_cv0.10_cy8.40,1155.0883570170765
386,BY_y_cv0.10_cy8.50,1138.5985306329553
