,combination,extinction_size,wv,wy
157,BY_y_cv0.02_cy0.15,66.29105041444073,0.02,0.15
158,BY_y_cv0.02_cy0.16,67.26340342029853,0.02,0.16
159,BY_y_cv0.02_cy0.17,68.27873219041848,0.02,0.17
160,BY_y_cv0.02_cy0.18,69.33676676916912,0.02,0.18
161,BY_y_cv0.02_cy0.19,70.44457763625687,0.02,0.19
162,BY_y_cv0.02_cy0.20,71.62596009136395,0.02,0.2
163,BY_y_cv0.02_cy0.21,72.86408416399446,0.02,0.21
164,BY_y_cv0.02_cy0.22,74.15720181852866,0.02,0.22
165,BY_y_cv0.02_cy0.23,75.54020937863116,0.02,0.23
166,BY_y_cv0.02_cy0.24,76.99849993004084,0.02,0.24
167,BY_y_cv0.02_cy0.25,78.53307382934473,0.02,0.25
168,BY_y_cv0.02_cy0.26,80.16405795459652,0.02,0.26
169,BY_y_cv0.02_cy0.27,81.89615594841271,0.02,0.27
170,BY_y_cv0.02_cy0.28,83.74372528726636,0.02,0.28
171,BY_y_cv0.02_cy0.29,85.70920222510668,0.02,0.29
172,BY_y_cv0.02_cy0.30,87.82146307600595,0.02,0.3
173,BY_y_cv0.02_cy0.31,90.03953572045575,0.02,0.31
174,BY_y_cv0.02_cy0.32,92.44512842940912,0.02,0.32
175,BY_y_cv0.02_cy0.33,95.02746222439582,0.02,0.33
176,BY_y_cv0.02_cy0.34,97.8103055798163,0.02,0.34
177,BY_y_cv0.02_cy0.35,100.78468440210165,0.02,0.35
178,BY_y_cv0.02_cy0.36,104.02576627348829,0.02,0.36
179,BY_y_cv0.02_cy0.37,107.50833824073965,0.02,0.37
180,BY_y_cv0.02_cy0.38,111.32085410067792,0.02,0.38
181,BY_y_cv0.02_cy0.39,115.45437538221178,0.02,0.39
182,BY_y_cv0.02_cy0.40,119.94528900696952,0.02,0.4
183,BY_y_cv0.02_cy0.41,124.88903302983364,0.02,0.41
184,BY_y_cv0.02_cy0.42,130.28272332332833,0.02,0.42
185,BY_y_cv0.02_cy0.43,136.2433928747689,0.02,0.43
186,BY_y_cv0.02_cy0.44,142.79480889478856,0.02,0.44
187,BY_y_cv0.02_cy0.45,149.99512675610842,0.02,0.45
188,BY_y_cv0.02_cy0.46,158.0623144279829,0.02,0.46
189,BY_y_cv0.02_cy0.47,166.95481587115194,0.02,0.47
190,BY_y_cv0.02_cy0.48,176.92641358721394,0.02,0.48
191,BY_y_cv0.02_cy0.49,187.9847279559552,0.02,0.49
192,BY_y_cv0.02_cy0.50,200.42716191227504,0.02,0.5
193,BY_y_cv0.02_cy0.51,214.43146465949744,0.02,0.51
194,BY_y_cv0.02_cy0.52,230.24451852070783,0.02,0.52
195,BY_y_cv0.02_cy0.53,247.93906942705075,0.02,0.53
196,BY_y_cv0.02_cy0.54,268.0304280154349,0.02,0.54
197,BY_y_cv0.02_cy0.55,290.91171506237646,0.02,0.55
198,BY_y_cv0.02_cy0.56,316.7906709488329,0.02,0.56
199,BY_y_cv0.02_cy0.57,346.3062494723901,0.02,0.57
200,BY_y_cv0.02_cy0.58,379.9244643575947,0.02,0.58
201,BY_y_cv0.02_cy0.59,418.3115990198427,0.02,0.59
202,BY_y_cv0.02_cy0.60,462.0544987520278,0.02,0.6
203,BY_y_cv0.02_cy0.61,512.0381118857955,0.02,0.61
204,BY_y_cv0.02_cy0.62,569.2694297770926,0.02,0.62
205,BY_y_cv0.02_cy0.63,634.675772003011,0.02,0.63
206,BY_y_cv0.02_cy0.64,709.3317954810009,0.02,0.64
207,BY_y_cv0.02_cy0.65,794.5496651802007,0.02,0.65
208,BY_y_cv0.02_cy0.66,891.820659194386,0.02,0.66
209,BY_y_cv0.02_cy0.67,1002.4887423663668,0.02,0.67
210,BY_y_cv0.02_cy0.68,1128.0704030323434,0.02,0.68
211,BY_y_cv0.02_cy0.69,1270.0849730201987,0.02,0.69
212,BY_y_cv0.02_cy0.70,1430.3613685241976,0.02,0.7
213,BY_y_cv0.03_cy0.00,55.74563091969048,0.03,0.0
214,BY_y_cv0.03_cy0.01,56.258733189804126,0.03,0.01
