,bv_lower,bv_upper,by_lower,by_upper
46,1.4503193125133607,2.805252008507723,2.0983826998924178,2.3834762434960637
47,1.5245174107895443,2.861626756454311,2.2222150468154678,2.5251756614020167
48,1.6346911929040358,2.9836800453028514,2.3783897142440216,2.699429663730107
49,1.7773823023573792,3.17461342441091,2.569198280217577,2.9211468543353503
50,1.954243062838285,3.4402174816350275,2.808208706060697,3.19381174465181
51,2.1694376035515104,3.8095441890360964,3.107360006401683,3.547741355829873
52,2.433097968449956,4.255739575516662,3.4771923328880665,3.98370911679152
53,2.744991613898937,4.847438512488056,3.9447137923671236,4.546871642233444
54,3.146465572112207,5.616787891682517,4.543325491593569,5.266191774082383
55,3.6555562244438704,6.544311255137644,5.315226510868267,6.195438202425309
56,4.300342189086242,7.801017227181134,6.2969041284013425,7.460265837108495
57,5.097088319111178,9.385301272664718,7.602138123231704,9.170762069643656
58,6.102681891336415,11.317272652610104,9.333338295492656,11.554223203775262
59,7.443782044663691,13.902901275372706,11.685484506209246,14.827250059596444
60,9.124444066030362,17.29568492977548,14.8112094039418,19.40696767549147
61,11.324495926190064,21.697827959406357,19.184042737741528,25.966524644207933
62,14.131434480173818,27.29522489047811,25.06309391832495,35.79966655807675
63,17.667450189347576,33.96929072274008,32.99520199219137,49.6473225261821
64,21.897226503361953,42.081021007628024,43.69329641515016,69.62940302320824
65,27.0145776554509,51.023544964994095,57.86038408514497,98.07512301621195
66,33.06957286745933,60.88538693531373,76.12699945286207,135.65460205865716
67,39.64513626999775,70.8266281513676,98.11877388393115,184.21953427918476
68,46.49133010749168,79.3881122870115,122.3152651654808,241.95596128562835
69,52.68427547747805,85.24361835526983,147.81572219659358,305.99670475332397
70,57.972928645902414,87.65610919315971,169.20521476525283,361.1182289003935
71,61.07483565748792,87.56134305604805,185.6912482952922,399.20753524059216
72,62.29284081167323,83.67291556387629,191.8232090828385,409.38367074641315
73,60.35954803204674,76.9662168246401,186.60436789754291,386.29607788926637
74,55.283866055227065,69.69299302261855,165.94749790248102,330.9167534030817
75,48.094189031121566,61.16920515922436,138.99328557909897,264.94360403640565
76,39.61968858510111,52.88862932784281,108.54125308838533,194.43276387154788
77,31.831561267006293,44.97289739611598,78.27152165434258,133.76237121025392
78,24.98509483381399,37.63290267869698,52.425962418268455,86.84745429628546
79,19.323133911570856,31.004126058287177,33.37754150476914,53.02666180887123
80,14.895504792015696,25.218140067954245,19.95580656081851,31.315639120191946
81,11.317567856065065,20.26847414070053,11.726215000990518,17.78092850076743
82,8.638104967160752,16.241514812947717,6.934116834604585,10.153882766912059
83,6.651033116599983,12.9279255742292,4.423566708389635,6.223694236629981
84,5.131608399945513,10.288978725937898,3.20097871511726,4.233728077960045
85,4.0105905589579045,8.223715749909626,2.5786856688700963,3.253500135950203
86,3.181864948014851,6.603507454902409,2.273133773912146,2.7692281822882805
87,2.5662356290672874,5.345140161023167,2.1025346115167483,2.515580233880358
88,2.1328764074778985,4.446986744840691,1.992905193237509,2.3589874977612006
89,1.836592856285333,3.7314680196962424,1.9236986714581834,2.268415942951426
90,1.6238188215987743,3.2284930289663585,1.8791979303343902,2.2110645298012774
91,1.4801338215540414,2.848446580145649,1.855864938504201,2.1778069138683813
92,1.3992367260337852,2.574125730128378,1.8520200883975924,2.169274697787095
93,1.3457756481798973,2.3951739873001396,1.8652967863816723,2.1822378992199103
94,1.3215464445069154,2.275975557036924,1.8953746906684592,2.216207520810909
