,combination,extinction_size
155,BY_y_cv0.01_cy0.54,168.93127278304348
156,BY_y_cv0.01_cy0.55,168.9434401737537
157,BY_y_cv0.01_cy0.56,168.93727002735255
158,BY_y_cv0.01_cy0.57,168.9314908450855
159,BY_y_cv0.01_cy0.58,168.9256951041929
160,BY_y_cv0.01_cy0.59,168.9198642608617
161,BY_y_cv0.01_cy0.60,168.9155767898548
162,BY_y_cv0.01_cy0.61,168.91641756452756
163,BY_y_cv0.01_cy0.62,168.9087181987376
164,BY_y_cv0.01_cy0.63,168.90284630893078
165,BY_y_cv0.01_cy0.64,168.8969593516504
166,BY_y_cv0.01_cy0.65,168.89105757416422
167,BY_y_cv0.01_cy0.66,168.88789645634566
168,BY_y_cv0.01_cy0.67,168.88196655398082
169,BY_y_cv0.01_cy0.68,168.87596499872782
170,BY_y_cv0.01_cy0.69,168.87604504336562
171,BY_y_cv0.01_cy0.70,168.8700740274113
172,BY_y_cv0.01_cy0.71,168.86421311036412
173,BY_y_cv0.01_cy0.72,168.8582161561179
174,BY_y_cv0.01_cy0.73,168.852209596369
175,BY_y_cv0.01_cy0.74,168.85008813050771
176,BY_y_cv0.01_cy0.75,168.84405853343685
177,BY_y_cv0.01_cy0.76,168.83918982156175
178,BY_y_cv0.01_cy0.77,168.83311852526748
179,BY_y_cv0.01_cy0.78,168.82705182850134
180,BY_y_cv0.01_cy0.79,168.82097441640383
181,BY_y_cv0.01_cy0.80,168.82420812338808
182,BY_y_cv0.01_cy0.81,168.8179246250455
183,BY_y_cv0.01_cy0.82,168.81179847202822
184,BY_y_cv0.01_cy0.83,168.8056806255589
185,BY_y_cv0.01_cy0.84,168.79955357957513
186,BY_y_cv0.01_cy0.85,168.79102482269647
187,BY_y_cv0.01_cy0.86,168.79515712412996
188,BY_y_cv0.01_cy0.87,168.7890037984307
189,BY_y_cv0.01_cy0.88,168.78284250278702
190,BY_y_cv0.01_cy0.89,168.776651767757
191,BY_y_cv0.01_cy0.90,168.7704754561866
192,BY_y_cv0.01_cy0.91,168.7850327382223
193,BY_y_cv0.01_cy0.92,168.81369898488194
194,BY_y_cv0.01_cy0.93,168.80749886223205
195,BY_y_cv0.01_cy0.94,168.80129261692187
196,BY_y_cv0.01_cy0.95,168.7831928636504
197,BY_y_cv0.01_cy0.96,168.77697613677466
198,BY_y_cv0.01_cy0.97,168.77232226488704
199,BY_y_cv0.01_cy0.98,168.77101206058342
200,BY_y_cv0.01_cy0.99,168.76478030816673
201,BY_y_cv0.01_cy1.00,168.75854429266928
202,BY_y_cv0.02_cy0.00,170.8531074191939
203,BY_y_cv0.02_cy0.01,170.8215030462283
204,BY_y_cv0.02_cy0.02,170.82950275007684
205,BY_y_cv0.02_cy0.03,170.8248315307154
206,BY_y_cv0.02_cy0.04,170.82244669618106
207,BY_y_cv0.02_cy0.05,170.8061750190493
208,BY_y_cv0.02_cy0.06,170.8049751757311
209,BY_y_cv0.02_cy0.07,170.80796533000813
210,BY_y_cv0.02_cy0.08,170.80710502886217
211,BY_y_cv0.02_cy0.09,170.8088461668254
212,BY_y_cv0.02_cy0.10,170.77761549817714
213,BY_y_cv0.02_cy0.11,170.78595989765984
214,BY_y_cv0.02_cy0.12,170.79429849452825
215,BY_y_cv0.02_cy0.13,170.802662789402
216,BY_y_cv0.02_cy0.14,170.7561783708019
217,BY_y_cv0.02_cy0.15,170.7543892879683
218,BY_y_cv0.02_cy0.16,170.7796762399705
219,BY_y_cv0.02_cy0.17,170.74961705588376
220,BY_y_cv0.02_cy0.18,170.7593948138654
221,BY_y_cv0.02_cy0.19,170.76916186771666
222,BY_y_cv0.02_cy0.20,170.77215429643948
